X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid,a_cargo_de,sentido,ubicacion,telefono_peaje,telefono_grua,eje_adicional,eje_adicional_r,eje_grua,cat_e_ie,cat_8,cat_9,cat_ie_10,cat_iee,cat_ieee,cat_iia,cat_eae,cat_ec,cat_e,cat_ie,cat_iie,cat_iiie,cat_ive,cat_ve,cat_vie,cat_viie,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,d_cat_ie10,d_cat_iee,d_cat_ieee,d_cat_iia,d_cat_eg,d_cat_ear,d_cat_ea,d_cat_eae,d_cat_ec,d_cat_e,d_cat_ie,d_cat_iie,d_cat_iiie,d_cat_ive,d_cat_ve,d_cat_vie,d_cat_viie
-8389611.89710456,1180770.66852315,3803,9006,19,578,BAYUNCA,CONCESION ANI,BOLÍVAR,10,-75.36516595,8000,26400,30200,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Sabanalarga - Barranquilla,8900,19800,2,Autopistas del sol,Ambos sentidos de circulación,Km 19+400 Cartagena - Santa Catalina Vía La Cordialidad,3212057236,3212057227,8700,8400,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes, , , , , , , , ,Eje grúa,Eje remolque,Eje adicional, , , , , , , , , , 
-8126265.14982989,761629.775417221,3817,45A07,53,730,LOS CUROS,INVIAS,SANTANDER,74,1,8600,30100,35200,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3817.pdf,San Gil - Bucaramanga,9300,24200,5, Invias,Aplica en ambos sentidos,Vía San Gil - Bucaramanga Km 53+730 Jurisdicción Municipio de Piedecuesta,sin numero,sin numero,10200,10000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos.,Camiones y Buses 2 ejes Pequeños.,Camiones y Buses 2 ejes Grandes.,3 y 4 ejes.,5 ejes., , , , , , , , ,Eje Grúa.,Eje Remolque.,Eje adicional., , , , , , , , , , 
-8338066.71523071,1213688.94875875,3805,9006,101,927,GALAPA,CONCESION ANI,ATLANTICO,50,-74.90209813,13000,24800,77400,103500,114800,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Sabanalarga - Barranquilla,19500,14100,2,Autopista del Sol,Ambos sentidos de circulación,Vía Cordialidad Km 98,3212057229,3212057229,9000,8700,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Buses,Camiones 2 ejes Pequeños,Camiones 2 ejes Grandes,Camiones 3 y 4 ejes,Camiones 5 ejes,Camiones 6 ejes, , , , , , ,EJE GRUA,EJE REMOLQUE,EJE ADICIONAL, , , , , , , , , , 
-8122867.8835761,793295.701176387,3967,6603,48,236,PICACHO,CONCESION ANI,SANTANDER,92,-72.96896371,8500,24800,27900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/el_picacho.jpg,Bucaramanga - Cuestaboba,9300,19500,2,Autopista Bucaramanga - Pamplona S.A.S.,"Sur - Norte , Norte - Sur",Vía Bucaramanga - Pamplona Km. 48 + 000 Tramo que cubre: Bucaramaga – Pamplona,3124516349 - 3176462257 y 3004723174,3124516349 - 3176462257 y 3004723174,8700,8400,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Automóviles , Camperos y camionetas.","Camiones , Buses y camiones 2 ejes .",Camiones de 3 y 4 ejes.,Camiones 5 ejes.,Camiones de 3 y 4 ejes., , , , , , , , ,Eje Grúa.,Eje Remolque.,Eje adicional., , , , , , , , , , 
-8617092.08030137,121043.177704251,3918,2501,56,81,EL PLACER,CONCESION ANI,NARIÑO,44,-77.4086552,10300,29900,34500,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Puente Internacional Rumichaca - San Juan de Pasto,10800,22900,2,Concesionaria Víal Uníon del Sur,Aplica en ambos sentidos de circulación,A un Kilometro del Municipio de Tangua Km. 56+050,3173682092 – 3173310921,"Móvil1: 3174275839, atiende los municipios Ipiales, Contadero e Iles Móvil 2: 3174042366, atiende a los Municipios de Imués, Yacuanquer, Tangua y Pasto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y camperos,"Buses, Busetas y Camiones",Camiones 3 y 4 ejes,5 Ejes,6 ejes, , , , , , , , , , , , , , , , , , , , , 
-8147318.97495604,792749.770085938,7205,6602,64,362,LEBRIJA,EDISAN,SANTANDER,69,-73.19,7200,26000,29800,0,0, ,Lebrija - Palenque,8200,19600,3,DEPARTAMENTO,Sur - Norte,Vía Fortuna - Bucaramanga Km 65+500 Jurisdicción del municipuio de Lebrija,3188884392,No cuenta con servcicio,,,,,,,,,,,,,,,,,,,,,Automóviles y camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes Grandes,3 y 4 ejes,5 ejes,,,,,,,,,,,,,,,,,,,,,
-8423695.54138988,707053.829451389,3825, ,0,0,EBÉJICO,DEPARTAMENTO,ANTIOQUIA,35,-75.67134454,7700,23700,26700,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Puente Aurrá - Medellín (Vía Antigua al Mar),9200,19300,3, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8418790.96303317,641104.398611949,3811,25B01,2,957,LA PINTADA,CONCESION ANI,ANTIOQUIA,67,-75.62728596,8300,24400,27400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,La Pintada - Peñalisa,9000,19200,2,Concesión Pacifico Tres S.A.S.,Sur – Norte,KM 03 RUTA 25B01 Vía Pintada – Bolombolo,3173673153,3185018100  - #272 Claro Movistar y Tigo,8700,8400,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 Ejes,3 ejes,4 ejes,5 ejes, , , , , , , , ,Eje Grúa,Eje remolque,Eje adicional, ,Eje Cañero, , , , , , , , 
-8142954.3802872,808473.196821737,6805,45A08,13,100,RÍONEGRO,EDISAN,SANTANDER,109,-73.15,7200,26000,29800,0,0, ,La cemento - Rionegro,8200,19600,3,DEPARTAMENTO,Norte - Sur,Vía Bucaramanga - Rionegro Km 13,6569259,No cuenta con servicio,,,,,,,,,,,,,,,,,,,,,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 ejes,,,,,,,,,,,,,,,,,,,,,
-8187930.15050311,565939.499211534,3810,5607,27,250,MACHETÁ,CONCESION ANI,CUNDINAMARCA,76,-73.53570252,8500,12350,13850,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Brisas - Guateque,4500,9650,2,CONCESIÓN DEL SISGA S.A.S.,Ambos sentidos de circulación,Vía Sisga – Guateque Km 27,320 928 4913 - 321 964 0314,320 928 4913 - 321 964 0314,8700,8400,6400,3800,0,0,0,0,0,0,0,0,0,3900,4200,0,0,0,0,0,"Categoría I Automóviles, Camperos y Camionetas y microbuses con ejes de llanta sencilla","Categoría II Buses, Busetas microbuses con eje trasero de doble llanta",Categoría III Vehículos de pasajeros y de carga de tres y cuatro ejes,Categoría IV Vehículos de carga de cinco (5) ejes,Categoría V Vehículos de carga de seis (6) ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, , , ,Categoría Especial IE,Categoría Especial IIE, , , , , 
-8320384.20789636,590852.094014356,8405,4510,7,0,BRISAS,CONCESION ANI,Alto Magdalena,0,0,4800,29500,42000,67700,77500, ,Girardot - Cambao - Honda - Puerto Salgar,16100,22000,2,Concesión Alto Magdalena SAS,(Aplica en ambos sentidos),"Km, 11+000",3219738507,3219738507,,,,,,,,,,,,,,,,,,,,,Automóviles - Camperos - Camionetas,Buses,Camiones pequeños de 2 Ejes,Camiones grandes de 2 Ejes,Camiones de 3 y 4 Ejes,Camiones de 5 Ejes,Camiones de 6 o mas Ejes,,,,,,,,,,,,,,,,,,,
-8152049.66614556,843391.434361438,3823,45A08,51,350,RÍO BLANCO,INVIAS,SANTANDER,106,1,8900,26100,29500,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3823.pdf,Río Negro - San Alberto,9900,20500,5,INVIAS,Norte – Sur,Vía Rio Negro – San Alberto Km  53+100,3124570764,No cuenta con servicio,9000,8700,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos.,Camiones y Buses 2 ejes Pequeños.,Camiones y Buses 2 Ejes Grandes.,3 y 4 ejes.,5 ejes., , , , , , , , ,Eje Grúa.,Eje Remolque.,Eje adicional., , , , , , , , , , 
-8163424.45301676,689094.829656596,3839,45A06,62,900,OIBA,INVIAS,SANTANDER,84,1,8600,30100,35200,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3839.pdf,Puente Nacional - San Gil,9300,24200,5,Invias,NORESTE- SUROCCIDENTE,Vía Puente Nacional – San Gil Km 62+950,Sin numero,Sin numero,10200,10000,7000,800,0,0,0,0,0,0,0,0,0,800,800,0,0,0,0,0,Automóviles y Camperos.,Camiones y Buses 2 ejes Pequeños.,Camiones y Buses 2 ejes Grandes.,3 y 4 ejes.,5 ejes., , , , , , , , ,Eje Grúa.,Eje Remolque.,Eje adicional., , , ,CAT ESPECIAL IE., , , , , , 
-8460158.62754577,985712.702770927,3830,7401,46,1001,LOS CEDROS,CONCESION ANI,CORDOBA,73,-75.99889801,13100,34900,55600,64100,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Puerto Rey - Monteria,19300,19300,2,Concesión Ruta al Mar,Aplica en ambos sentido de circulación,Via Puerto Rey – Montería Km 47 Recorrido  67 KMS,3116346193 - 3116346192,094 - 7911207,0,0,0,0,0,0,0,0,0,0,0,0,0,11300,15800,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,6 Ejes,, , , , , , ,Eje grúa,Eje remolque,Eje remolque, , , , , , , , , , 
-8192744.22722701,467307.258745242,3925,6510,7,133,PUENTE AMARILLO,CONCESION ANI,META,99,-73.59667358,3600,6150,8750,11750,13350,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cumaral - Barranca de Upía,6150,3850,2,Concesión Vial del Oriente - COVIORIENTE S.A.S,Bidireccional,Conexión Anillo vial Cumaral Km 7+135,3168341260,3178942293  - 018000180818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Automóviles, Camperos y Camionetas y microbuses con ejes de llanta sencilla de servicio público","Buses, busetas, microbuses con eje trasero de doble llanta",Camiones pequeños de dos (2) ejes,Camiones grandes de dos (2) ejes,Vehículos de tres (3) y cuatro (4) ejes,Vehículos de cinco (5) ejes,Vehículos de seis (6) ejes, , , , , , , , , , , , , , , , , , , 
-8391108.49904796,722668.714219451,3835,2510,0,0,PANDEQUESO,DEPARTAMENTO,ANTIOQUIA,86,-75.37861015,7800,23300,26400,0,8100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Medellìn - Hoyo Rico,8600,18200,3,CONCESION  HATOVIAL S.A.,Norte - Sur,"KM 38+700 RUTA 2510, vía Medellín – La costa", 094-8664105 - 3108992850, 094-4012277 - 018000524477,0,7800,6000,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 Ejes pequeños,Camiones y Buses 2 Ejes grandes,3 y 4 ejes,5 ejes, ,VII, , , , , , ,Eje grúa,Eje remolque, , , , ,Categoría especial, , , , , , 
-8543118.20055698,917079.844782714,10406,9001,18,70,CIRILO,ANI,Antioquia,0,0,9000,9900,20500,26500,29700, ,Vía Turbo - Necoclí,9900,9900,2,Concesión Autopistas Urabá,Norte - Sur. Sur - Norte,Vía turbo - Necoclí,3105553979 // #979,3105553979 // #979,,,,,,,,,,,,,,,,,,,,,Categoría I,Categoría II,Categoría III,Categoría IV,Categoría V,Categoría VI,Categoría VII,,,,,,,,,,,,,,,,,,,
-8354531.44778226,479171.657542351,3814,4404,9,551,GUALANDAY,CONCESION ANI,TOLIMA,54,-75.05002755,10200,38500,42400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Ibague (Puente Blanco) - Cruce Ruta 45 (Espinal),12000,28600,2,Concesionaria San Rafael S.A.,Aplica en ambos sentidos de circulación,Km. 9+0600 de la ruta 4004 que corresponde a la vía Ibagué (Puente Blanco  El Espinal (cruce ruta 45))  Espinal,3138863287,3212087489,9900,9300,6600,5900,0,0,0,0,0,0,0,0,0,5700,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, , , ,Categoría Especial IE, , , , , , 
-8402931.84702808,961509.493165353,3821,2514,26,300,CARIMAGUA,INVIAS,CORDOBA,17,1,12700,18400,33300,52900,61100,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3821.pdf,Planeta Rica - La Ye,18400,18400,5,INVIAS,Sur – Norte,Vía Planeta Rica - Sincelejo Km 26 + 300,3102467110 - 3205221762,No cuenta con servicio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Campero,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,6 Ejes,7 Ejes, , , , , , , , , , , , , , , , , , , 
-8393416.42627201,846518.831173691,3838,2512,1,300,TARAZÁ,INVIAS,ANTIOQUIA,124,1,8900,26100,29500,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3838.pdf,Tarazá - Caucasia,9900,20500,5,INVIAS,Sur – Norte,"KM 01+200 RUTA 2512, Via Medellin - La Costa",3102463888,(322 384 5814) este número también sirve para solicitar ambulancia,9000,8700,6600,5800,0,0,0,0,0,0,0,0,0,5400,0,0,0,0,0,0,"Automóviles, camperos, camionetas",Buses,Camiones de dos ejes pequeños,Camiones de dos ejes grandes,Camiones de tres y cuatro ejes,Camiones de cinco ejes,Camiones de seis ejes, , , , , , , , , , , , , , , , , , , 
-8275119.62070874,1229519.96938541,3841,9007,50,881,TASAJERA,DEPARTAMENTO,MAGDALENA,125,-74.33666433,10100,37200,42100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Barranquilla - Santa Marta,12000,28100,3,Concesión (Barranquilla -Ciénaga),Norte – Sur,KM 50 Vía Barranquilla – Santa Marta,3106328761,3106303030 - 3106328761,15900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Buses y Busetas 2 Ejes Dobles,Camiones de 3.5 Ton.,Camiones de 5 Ton.,3 Ejes, , , , , , , , , , ,Eje Adicional, , , , , , , , , , 
-8318874.26386671,1229693.57893756,3843,9007,5,569,LAUREANO GÓMEZ,DEPARTAMENTO,MAGDALENA,100,-74.72971898,10100,37200,42100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Barranquilla - Santa Marta,1200,28100,3,Concesión (Barranquilla -Ciénaga),Norte – Sur,KM 3+300 Vía Barranquilla – Santa Marta,3106328761,3106303030 - 3106328761,15900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Buses y Busetas 2 ejes dobles,Camiones de 3.5 Ton.,Camiones de 5 Ton.,3 Ejes, , , , , , , , , , ,Eje Adicional, , , , , , , , , , 
-8449134.96171813,491176.671543093,3840,4002,21,1604,COROZAL,CONCESION ANI,VALLE DEL CAUCA,30,-75.89991018,10400,12600,30700,38400,44600,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,La Paila - Club Campestre,12600,12600,2,AUTOPISTAS DEL CAFÉ, Sur - Norte // Norte - Sur,Vía La Paila - Armenia Km 23,(6) 3282720,3138176567 #850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,6 Ejes,Categoría VII, , , , , , , , , , , , , , , , , , , 
-8401074.959998,762175.562446554,3848,2511,3,500,LOS LLANOS,INVIAS,ANTIOQUIA,75,1,8900,26100,29500,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3848.pdf,Los Llanos - Tarazá,9900,20500,5,INVIAS,Norte - Sur,"KM 03+450 RUTA 2511, vía Medellin - La Costa",3102462831,(322 384 5814) este número también sirve para solicitar ambulancia,9000,8700,6600,4500,0,0,0,0,0,0,0,0,0,4200,4800,0,0,0,0,0,"Automóviles, Camperos y Camionetas",Buses,Camiones de dos ejes pequeños,Camiones de dos ejes grandes,Camiones de tres y cuatro ejes,Camiones de cinco ejes,Camiones de seis ejes, , , , , , , , , , , , , , , , , , , 
-8271060.93200061,506787.433293481,3815,4005,109,217,CHUSACÁ,CONCESION ANI,CUNDINAMARCA,25,-74.27192598,10700,41800,48100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Girardot - Silvania - Bogotá (Bosa),12000,25700,2,Concesión  Vía 40 Express, Sur - Norte // Norte - Sur,Soacha – Girardot Km 109, 3104224687 - 3117872339 - 3117903187,3104224687 - 3117872339 - 3117903187,10100,9800,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y camperos.,Camiones y Buses  dos  ejes pequeños.,Camiones y Buses  dos  ejes Grandes.,Categoría IV,Categoría V Cinco ejes., , , , , , , , ,Eje Grúa.,Eje Remolque.,Eje Adicional., , , , , , , , , , 
-8239865.27887591,543429.697267256,3871,45A04,3,921,FUSCA,CONCESION ANI,CUNDINAMARCA,49,-74.02887144,8700,10800,16450,21250,22550,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Bogotá - Ubaté,7400,4700,2,CONCESIÓN ACCENORTE,Sur – Norte Aplica Únicamente saliendo de Bogotá,Bogotá – Albarracín Km 4,6760652  Opc 1 - 3125194023 – 3125196546,676 06 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14200,0,0,0,0,0,"Categoría I Automóviles, Camperos y Camionetas de servicio público","Categoría II Buses, busetas",Categoría III Camiones pequeños de 2 ejes,Categoría IV Camiones grandes de 2 ejes,Categoría V Camiones de 3 y 4 ejes,Categoría VI Camiones de 5 ejes,Categoría VII Camiones de 6 ejes o más, , , , , , , , , , , , , , , , , , , 
-8241591.56587939,537493.257948999,3951,5501,2,723,ANDES,CONCESION ANI,CUNDINAMARCA,8,-74.03304393,8700,10800,16450,21250,23550,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Bogotá - Chocontá,7400,4700,2,CONCESIÓN ACCENORTE,Sur Norte Aplica Únicamente saliendo de Bogotá,Bogotá – Albarracín Km 2+600,6760652 - 6762948  3125194023 – 3125196546,676 06 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14200,0,0,0,0,0,"Categoría I Automóviles, Camperos y Camionetas de servicio público","Categoría II Buses, busetas",Categoría III Camiones pequeños de 2 ejes,Categoría IV Camiones grandes de 2 ejes,Categoría V Camiones de 3 y 4 ejes,Categoría VI Camiones de 5 ejes,Categoría VII Camiones de 6 ejes o más, , , , , , , , , , , , , ,Categoría IIE, , , , , 
