Razón Social,Dirección Comercial,Barrio Comercial,Municipio,Departamento,Teléfono Comercial,Correo Electrónico
Banco Colpatria Multibanca Colpatria S.A - Oficina Centro Comercial Santa Lucia Plaza,Calle 8 No. 48 - 145 Locales 3 -56,-,Neiva,Huila,0388630483,alvaro.vasquez@scotiabankcolpatria.com
Bancolombia - Oficina Ecopetrol,Zona Industrial Campo Dina Kilometro 17 Via Neiva,-,Neiva,Huila,0388715573,notificacijudicial@bancolombia.com.co
Bancolombia,Calle 7 No. 11-32 Local 1-109,Ipanema,Garzon,Huila,0388334100,notificacijudicial@bancolombia.com.co
Banco de Occidente Colonial,Carrera  5 No. 21-18,-,Neiva,Huila,0388630777,compras2@bancodeoccidente.com.co
Banco Davivienda S.A - Oficina Centro Comercial Santa Lucia Plaza,Calle 8 No. 48-145 Local N1-33,Centro,Neiva,Huila,0388777847,subdirector0777@davivienda.com
Banco de las Microfinanzas Bancamia S.A,Carrera 7 No. 10-42,-,Neiva,Huila,3158960387,impuestos@bancamia.com.co
Banco de las Microfinanzas Bancamia S.A,Carrera 4 No. 2-81,-,Pitalito,Huila,3115724769,impuestos@bancamia.com.co
Banco de las Microfinanzas Bancamia S.A,Carrera 9 No. 7 - 18,-,Garzon,Huila,0388338803,impuestos@bancamia.com.co
Bancolombia,Calle  4 No. 4 - 29,-,Aipe,Huila,0388389673,notificacijudicial@bancolombia.com.co
Banco W S.A,Carrera 5 No. 11-58,-,Neiva,Huila,0388721486,correspondenciabancow@bancow.com.co
Banco W S.A,Carrera 5 No. 3-34/38,Quirinal,Pitalito,Huila,0388369684,correspondenciabancow@bancow.com.co
Banco W S.A,Carrera 10 No. 5 - 51,-,Garzon,Huila,0388338354,correspondenciabancow@bancow.comco
Carrera 7 Neiva Banco Comercial Av Villas - Oficina de Credito al Instante,Carrera 7 A No. 18-21,-,Neiva,Huila,0388630317,notificacionesjudiciales@bancoavvillas.com.co
Bancolombia,Calle 4 No. 4-31,-,Yaguara,Huila,0388383714,notificacijudicial@bancolombia.com.co
Bancolombia,Carrera 9 No. 8-71,El Centro,Palermo,Huila,0388783791,notificacijudicial@bancolombia.com.co
Bancolombia,Carrera 4 No. 2-31,-,Gigante,Huila,0388325927,notificacijudicial@bancolombia.com.co
Banco Pichincha S.A,Calle 7 No. 5-78,-,Neiva,Huila,0388712076,notificacionesjudiciales@pichincha.com.co
Bancolombia - Oficina de Buganviles,Calle 20 No. 36A-84,El Centro,Neiva,Huila,0388630605,notificacijudicial@bancolombia.com.co
Banco Falabella HC,Calle 50 No. 16-02 Barrio Alamos Norte,Las Granjas,Neiva,Huila,0385878787,jahperez@bancofalabella.com.co
Banco Popular S.A - Agencia Garzon,Calle 6 No. 8-41,El Centro,Garzon,Huila,0388330101,notificacionesjudicialesvjuridica@bancopopular.com.co
Banco Comercial Av Villas - Oficina San Pedro Plaza,Carrera 8 No. 38-42 Locales 158/159/160,Zona Industrial,Neiva,Huila,0388630173,notificacionesjudiciales@bancoavvillas.com.co
Mibanco S.A,Calle 10 No. 4-10,Quirinal,Neiva,Huila,0388720170,notificaciones@mibanco.com.co
Banco Davivienda - Oficina Centro Comercial Unicentro,Carrera 8 No. 22 - 10 Sur Local 245,-,Neiva,Huila,0388757731,subdirector0798@davivienda.com
Banco de Bogota - Oficina Quirinal,Calle 18 No. 6-58,Las Granjas,Neiva,Huila,0388716280,rjudicial@bancodebogota.com.co
Bancolombia,Carrera 4 No. 6-27-31 C.C La Abuela,Centro,La Plata,Huila,0388371600,notificacijudicial@bancolombia.com.co
Banco GNB Sudameris S.A - Sucursal Principal Neiva,Avenida 26 Calle 39 Esquina Piso 2 Exito CC San Pedro Plaza,El Centro,Neiva,Huila,0388672637,iquintero@gnbsudameris.com.co
Banco Davivienda - Agencia en San Antonio Pitalito,Carrera 15 No. 19A - 01 Local 187/188/189,El Centro,Pitalito,Huila,0388751824,subdirector0780@davivienda.com
Banco de las Microfinanzas Bancamia S.A,Carrera 4 No. 6-41,-,La Plata,Huila,0388370090,impuestos@bancamia.com.co
Banco de Bogota,Calle 3 No. 10 48,El Centro,San Agustin,Huila,0388373279,rjudicial@bancodebogota.com.co
Banco W S.A,Carrera 4 No. 6 - 34,-,La Plata,Huila,0388370702,correspondenciabancow@bancow.com.co
Banco Cooperativo Coopcentral,Carrera 5 No. 10- 49 Local 104-105,-,Neiva,Huila,0388631405,coopcentral@coopcentral.com.co
Banco de Occidente,Carrera 4 No. 6 - 33/39,-,Pitalito,Huila,0388360077,compras2@bancodeoccidente.com.co
Bbva Centro Banca Empresas y Gobiernos,Carrera 5 No. 6 - 44 Edif.  Metropolitano,-,Neiva,Huila,0383471600,notifica.co@bbva.com
Mibanco S.A,Calle 3 No. 4-53,Centro,Pitalito,Huila,0388364520,notificaciones@mibanco.com.co
Bbva Colombia S.A,Carrera 5 No. 6-44 Edif. Metropolit. Torre A,El Centro,Neiva,Huila,0388664405,notifica.co@bbva.com
Bbva Colombia S.A,Carrera 4 No. 5- 56,-,Pitalito,Huila,0388362900,notifica.co@bbva.com
Banco Davivienda S.A - Oficina Centro,Calle 7 No. 5 - 57,El Centro,Neiva,Huila,0388757731,subdirector0761@davivienda.com
Banco W S.A - Oficina de San Jose de Isnos,Calle 4 No. 2-26,Centro,Isnos,Huila,0388328321,correspondenciabancow@bancow.com.co
Banco Mundo Mujer - Oficina Centro,Calle 7 No. 5-87 Local 102 Edificio Colseguros,Centro,Neiva,Huila,0388630053,cumplimiento.normativo@bmm.com.co
Banco Mundo Mujer,Calle 3 No. 4-32,Centro,Pitalito,Huila,0388364383,cumplimiento.normativo@bmm.com.co
Banco Mundo Mujer,Calle 18 No. 08 - 31,El Centro,Campoalegre,Huila,0388385368,cumplimiento.normativo@bmm.com.co
Banco Mundo Mujer,Calle 9 No. 9-26,Altico,Palermo,Huila,0388783106,cumplimiento.normativo@bmm.com.co
Banco Mundo Mujer - Oficina Quirinal,Calle 13 No.  4 - 19,El Centro,Neiva,Huila,0388630053,cumplimiento.normativo@bmm.com.co
Banco Mundo Mujer - Oficina Altico,Calle 8 No. 8-81,Cristo Rey,Neiva,Huila,0388630053,cumplimiento.normativo@bmm.com.co
Banco Mundo Mujer,Calle 6 No. 8 - 31,El Centro,Garzon,Huila,0388334618,cumplimiento.normativo@bmm.com.co
Banco Mundo Mujer,Carrera 4 No. 5 - 71,Centro,Isnos,Huila,0388328303,cumplimiento.normativo@bmm.com.co
Banco Mundo Mujer,Carrera 5 No. 5-54,El Centro,La Plata,Huila,0388376038,cumplimiento.normativo@bmm.com.co
Banco Agrario de Colombia S.A,Calle 18 No. 7 - 32,Centro,Campoalegre,Huila,0388321010,secretariageneral@bancoagrario.gov.co
Banco Davivienda S.A,Carrera 4 No. 4 - 42,Centro,La Plata,Huila,0388662485,subdirector0772@davivienda.com
Banco Davivienda S.A,Calle 9 No. 7 -67,El Centro,Palermo,Huila,0388784009,subdirector0768@davivienda.com
Banco Davivienda S.A,Carrera 5 No. 5-47,El Centro,Pitalito,Huila,0388363220,subdirector0767@davivienda.com
Banco Davivienda S.A,Calle 6 No. 8 - 73,-,Garzon,Huila,0388332050,subdirector0773@davivienda.com
Banco Popular - Agencia Neiva,Carrera 4 No. 7-13,Centro,Neiva,Huila,0388631221,notificacionesjudicialesvjuridica@bancopopular.com
Bancolombia - Oficina Neiva La Nueva,Cl 19 Sur No. 7 - 257 Local 01,Centro,Neiva,Huila,0388702443,notificacijudicial@bancolombia.com.co
Banco Comercial Av Villas,Calle 6 No. 5-03 Primer Piso,Centro,Pitalito,Huila,0388360405,notificacionesjudiciales@bancoavvillas.com.co
Banco Agrario de Colombia,Carrera 5 No. 6-59,El Centro,Algeciras,Huila,0388322003,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 4 No. 6-07,El Centro,Acevedo,Huila,0388252452,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 4 A No. 5-16,Unicentro,Agrado,Huila,0388317173,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 2 Con Carrera 5 Esquina,Centro,Elias,Huila,0388321086,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 3 No. 6-05,Centro,Colombia,Huila,0388302651,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 2C No. 6-64,Centro,Baraya,Huila,0388319552,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 4  Solar Hoy Calle  6  Sin Nomenclatura,Centro,Altamira,Huila,0388389383,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 6 No 4-24,Centro,Guadalupe,Huila,0388325057,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 8 No. 5-36,El Centro,Hobo,Huila,0388305544,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 7 No. 3 - 26,El Centro,Iquira,Huila,0388311063,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 4 No. 3-34,Centro,La Plata,Huila,0388378139,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 5 No. 5-60- 64 - 68,Centro,La Argentina,Huila,0388370115,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 2 No. 5- 77 - 83,Centro,Nataga,Huila,0388387125,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 3 No. 3-67,El Centro,Isnos,Huila,0388394763,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 1A No. 2-37,Los Almendros,Palestina,Huila,0388366712,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera  No. 5-21-23,El Centro,Oporapa,Huila,0388315517,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 4 No. 6-52,Centro,Paicol,Huila,0388384003,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 2 A No. 3 - 185,Centro,Saladoblanco,Huila,0388323072,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 4 No. 9-24,Centro,Tarqui,Huila,0388329222,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 8 No. 8-05,El Centro,El Pital,Huila,0388327063,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 7A No. 3- 57 - 59,Centro,Rivera,Huila,0388311681,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 13 No. 3-64 72,Centro,San Agustin,Huila,0388787151,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 3 No. 5-76,El Centro,Teruel,Huila,0388780061,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 4 No. 10-40-44-46,El Centro,Santa Maria,Huila,0388790528,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 9 No. 5-16,Centro,Tesalia,Huila,0388377020,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 7 No. 3-70,Centro,Suaza,Huila,0388324392,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Carrera 5 No. 4-02,Centro,Tello,Huila,0388488276,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 4 No. 4-30,El Centro,Villavieja,Huila,0388797502,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 5 No. 4-12,Paez,Aipe,Huila,0388712450,secretariageneral@bancoagrario.gov.co
Banco de Bogota - Oficina 338 en Garzón,Calle 7 No. 9-34,Centro,Garzon,Huila,0388332371,rjudicial@bancodebogota.com.co
Banco de Bogota,Calle 6 No. 4-60 Local 101 y 102,El Centro,La Plata,Huila,0388370857,rjudicial@bancodebogota.com.co
Banco Agrario de Colombia S.A,Carrera 4 No. 3 - 87,Centro,Gigante,Huila,0388332366,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 7 No. 6-27 Piso 2,El Centro,Neiva,Huila,0388677780,secretariageneral@bancoagrario.gov.co
Banco Agrario de Colombia S.A,Calle 4 No. 3-70,Sucre,Yaguara,Huila,0388328000,secretariageneral@bancoagrario.gov.co
Mibanco S.A,Calle 7 No.9-48 / Local 101,Zona Industrial,Garzon,Huila,0388330927,notificaciones@mibanco.com.co
Banco Mundo Mujer,Carrera 5 No. 9-39,-,Pitalito,Huila,0388352247,cumplimiento.normativo@bmm.com.co
Banco Mundo Mujer - Oficina Centro Comercial Unicentro,Calle 19 Sur No. 7-257 Local 3,-,Neiva,Huila,0388630053,cumplimiento.normativo@bmm.com.co
Banco de Occidente - Oficina Centro Comercial Unicentro,Carrera 15 No. 23A Sur - 13 Lc 247-248 Centro Comercial,-,Neiva,Huila,0388631010,compras2@bancodeoccidente.com.co
Bancolombia,Carrera 7A No. 17-20,-,Campoalegre,Huila,0388380111,notificacijudicial@bancolombia.com.co
Bancolombia S.A,Calle 8 No. 4-71,-,Neiva,Huila,0388631044,notificacijudicial@bancolombia.com.co
Bancolombia - Sucursal Las Ceibas,Carrera 5 No. 18 - 51 Local  1,-,Neiva,Huila,0388631043,notificacijudicial@bancolombia.com.co
Bancolombia - Oficina Avenida Quinta,Carrera 5 No. 11-57,El Centro,Neiva,Huila,0388631262,notificacijudicial@bancolombia.com.co
Bancolombia S.A,Calle 5 No. 4 - 21,Centro,Pitalito,Huila,0388361545,notificacijudicial@bancolombia.com.co
Banco de Bogota,Calle 6 No. 5A-22,El Centro,Neiva,Huila,0388631090,rjudicial@bancodebogota.com.co
Banco Agrario de Colombia S.A - Oficina Bruselas,Calle 5 No. 3-36,-,Pitalito,Huila,0388353899,secretariageneral@bancoagrario.gov.co
Banco Comercial Av Villas - Oficina Neiva Calle 10,Calle 7 No. 5-31,Centro,Neiva,Huila,0388630411,notificacionesjudiciales@bancoavvillas.com.co
Banco de Occidente S.A,Carrera 5 No. 6 - 75,Tenerife,Neiva,Huila,0388630444,compras2@bancodeoccidente.com.co
Banco Agrario de Colombia S.A,Carrera 9 No. 9-46,Zona Industrial,Palermo,Huila,0388677780,secretariageneral@bancoagrario.gov.co
CF Neiva,Calle 21 No. 13-43 Local 6,-,Neiva,Huila,0384926792,alexarincon@hotmail.com
Banco Agrario de Colombia S.A - Oficina Central de Abastos,Calle 38 Sur No. 3-250,San Antonio,Neiva,Huila,0388677780,secretariageneral@bancoagrario.gov.co
Mibanco S.A,Calle 6 No. 4-46 48/56,-,La Plata,Huila,0388370023,notificaciones@mibanco.com.co
Mibanco S.A,Carrera 12 No. 3-26,Paez,San Agustin,Huila,0388379205,notificaciones@mibanco.com.co
Banco de las Microfinanzas Bancamia S.A - Oficina Punto Express,Av Max Duque Calle 21 Sur No. 25-41 Local 55,Centro,Neiva,Huila,3166805758,impuestos@bancamia.com.co
Mandados Bakanos,Carrera 7 No. 4A - 33,El Centro,La Plata,Huila,3143487209,sebastianguerrero9601@gmail.com
Banco Caja Social,Calle 6 No. 4 - 62,-,Pitalito,Huila,0383138000,notificacionesjudiciales@fundaciongruposocial.co
Banco Davivienda Sucursal Huila y Caqueta,Carrera 7 No. 10 - 08,Centro,Neiva,Huila,0388751824,marestre@davivienda.com
Bbva Colombia,Carrera 10 No. 7-26,El Centro,Neiva,Huila,0388333604,notifica.co@bbva.com
Banco Popular,Calle 5 No. 4 19,El Centro,Pitalito,Huila,0388363300,pitalito@bancopopular.com.co
Banco Colpatria Multibanca Colpatria S.A - Oficina Centro,Carrera 5 No. 10 - 02,Quirinal,Neiva,Huila,0388630482,alvaro.vasquez@scotiabankcolpatria.com
Bbva Colombia - Avenida La Toma,Carrera 7 No. 11-02,-,Neiva,Huila,0388664403,sandra.corredor@bbva.com
Banco Caja Social - Sucursal Calle 7,Calle 7 No. 5 - 60,-,Neiva,Huila,0383138000,notificacionesjudiciales@fundaciongruposocial.co
Bbva Colombia S.A - Sucursal Rio del Oro,Calle 1G No. 4-27,Las Ceibas,Neiva,Huila,0388664402,notifica.co@bbva.com
Bbva Colombia S.A - Sucursal Los Almendros,Carrera 7 No. 9-37,-,Neiva,Huila,0388664404,notifica.co@bbva.com
Banco Davivienda - Sucursal Las Ceibas,Calle 21 No. 5 Bis - 121,Las Ceibas,Neiva,Huila,0388757003,subdirector0762@davivienda.com
