Institución educativa,Sede educativa,Dirección física,Teléfono,Correo electrónico,Página web,Rector / Director / Coordinador,Georreferenciación (Latitud),Georreferenciación (Longitud),Jornada,Alumnos (Masculino),Alumnos (Femenino),Alumnos (Sin determinar),Maestros,Matrículas iniciales,Incremento,Desertores (masculino),Desertores (femenino),Desertores (sin determinar),Matrícula Actuales,Material construcción,Plantas,Luz Solar,Alcantarillado,Gas,Internet,Acceso para discapacitados,Zona multimedios
FRANCISCO JOSE DE CALDAS,LA PAZ,VEREDA WILLIAM,3107066107,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,10,2,0,1,12,0,0,3,0,12,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,LA UNION,VEREDA LA BONGA,3107066107,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,46,34,0,4,82,0,0,2,0,80,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,NAZARETH,VEREDA LA GUACAMAYA (SIN ALUMNOS TEMPORAL),,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,,,,,,,,,,,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,NO HAY COMO DIOS,VEREDA SAN JUAN ARRIBA,3107066107,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,4,3,0,,7,0,2,0,0,7,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,SARDI,VEREDA SARDI,3107066107,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,12,12,0,1,23,1,0,0,0,24,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,MARIA AUXILIADORA,VEREDA QUEBRADA NUEVA,3107066107,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,8,3,0,,16,,1,0,0,11,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,SAN ISIDRO,VEREDA QUEBRADONA,3107066107,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,19,19,0,,35,3,0,3,0,38,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,LA ESPERANZA,VEREDA SAN MATIAS,3107066107,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,35,31,0,3,55,11,1,0,0,66,Concreto,1,0,0,0,0,0,0
FRANCISCO JOSE DE CALDAS,JUAN PABLO II,VEREDA LA CONEPCION,3107066107,jihv15048904@gmail.com,NO,JORGE IVAN HERRERA VEGA,0,0,MAÑANA,13,8,0,1,21,0,0,2,0,21,Concreto,1,0,0,0,0,0,0
PIO XII,SEDE PRINCIPAL,CORREGIMIENTO LA RICA,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,137,132,0,7,309,,36,33,0,269,Concreto,1,0,0,0,0,0,0
PIO XII,EL PORVENIR,VEREDA MORROCOY,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MANANA,17,15,0,1,25,7,2,1,0,32,Concreto,1,0,0,0,0,0,0
PIO XII,EL SALTILLO,VEREDA EL TERMINAL,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,27,14,0,1,38,3,4,1,0,41,Concreto,1,0,0,0,0,0,0
PIO XII,EL SANTUARIO ,VEREDA EL SANTUARIO,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,12,8,0,1,22,,,,,20,Concreto,1,0,0,0,0,0,0
PIO XII,JUAN PABLO II,VEREDA LOS OLIVOS,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,23,13,0,1,34,2,0,0,0,36,Concreto,1,0,0,0,0,0,0
PIO XII,LA ESPERANZA,VEREDA EL GUINEO,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,31,48,0,1,69,10,3,0,0,79,Concreto,1,0,0,0,0,0,0
PIO XII,LA FE,VEREDA LA CANDELARIA,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,25,18,0,1,24,19,0,0,0,43,Concreto,1,0,0,0,0,0,0
PIO XII,LA PAZ,VEREDA SOLEDAD MEDIO ,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,15,12,0,1,32,,4,5,0,27,Concreto,1,0,0,0,0,0,0
PIO XII,NUEVO PENSAR,VEREDA LA PIEDRA,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,30,14,0,1,45,,1,0,0,44,Concreto,1,0,0,0,0,0,0
PIO XII,POLICARPA SALAVARRIETA,VEREDA LA LIBORIA,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,9,5,0,1,14,0,0,0,0,14,Concreto,1,0,0,0,0,0,0
PIO XII,RANCHO GRANDE,VEREDA RANCHO GRANDE,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,17,11,0,,34,,0,0,0,28,Concreto,1,0,0,0,0,0,0
PIO XII,SAN MARTIN DE LOBA,VEREDA VENDEAGUJAS,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,8,13,0,1,23,,0,2,0,21,Concreto,1,0,0,0,0,0,0
PIO XII,SAGRADO CORAZON E JESUS,CORRREGIMIENTO PUERTO LOPEZ,3205002137,profemadrid2010@hotmail.com,NO,GERSON DE JESUS MADRID ARGUMEDO,0,0,MAÑANA,46,40,0,3,85,1,1,1,0,86,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,SEDE PRINCIPAL,VEREDA SANTA ISABEL,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,35,41,0,4,127,,15,18,0,76,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,ALTO SARDINA,VEREDA ALTO SARDINA,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,10,8,0,1,19,,1,0,0,18,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,EL CUCHARO,VEREDA EL CUCHARO,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,9,7,0,1,15,1,1,0,0,16,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,LA ESPERANZA,VEREDA SAMARIA,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,11,13,0,1,20,4,0,0,0,24,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,LA FLORIDA,VEREDA PUEBLO SECO,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,,,,,,,,,,0,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,LA SOLITA,VEREDA ANGOSTURA,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,14,20,0,2,37,,2,0,0,34,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,NUEVO OIENTE,VEREDA NUEVO ORIENTE,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,10,5,0,1,15,,0,1,0,15,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,RAFAEL NUÑEZ,VEREDA BOCA DE SANTA ISABEL,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,29,23,0,2,41,11,0,1,0,52,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,SALEM,VEREDA LA PALMA,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,14,16,0,1,29,1,0,0,0,30,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,SAN JOSE,VEREDA LA LUCHA,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,4,7,0,1,9,2,0,0,0,11,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,SAN PEDRO ALEJANDINO,VEREDA BETULIA,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,6,9,0,1,11,4,1,0,0,15,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,SANTA CATALINA,VEREDA GUIMARAL,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,25,10,0,2,29,6,0,0,0,35,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,SANTA LUCIA,VEREDA LA LATICA,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,16,5,0,1,21,0,1,0,0,21,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,SAN JOSE,VEREDA MORALITO,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,8,8,0,1,13,3,3,1,0,16,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,SAGRADO CORAZON DE JESUS,VEREDA SANTA FE A.S.J,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,33,33,0,3,63,3,3,2,0,66,Concreto,1,0,0,0,0,0,0
SANTA ISABEL,SAGRADO CORAZON DE JESUS,VEREDA LA LATA,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA ISABEL,LA DIVISA,VEREDA LA DIVISA,3106140002,mirellamaderao@gmail.com,NO,MIREYA DEL CARMEN MADERA OQUENDO,0,0,MAÑANA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
